#Time        gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol 
#HH:MM:SS    Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool 
 11:53:45      0     51     35     34     71      1      0      0      -      -    877   1530      0      0 
 11:53:45      1     45     34     31      0      0      0      0      -      -    877   1312      0      0 
 11:53:46      0     51     35     34     71      1      0      0      -      -    877   1530      0      0 
 11:53:46      1     45     34     31      0      0      0      0      -      -    877   1312      0      0 
 11:53:47      0     51     35     34     69      1      0      0      -      -    877   1530      0      0 
 11:53:47      1     45     34     31      0      0      0      0      -      -    877   1312      0      0 
 11:53:48      0     51     35     34     71      1      0      0      -      -    877   1530      0      0 
 11:53:48      1     45     34     31      0      0      0      0      -      -    877   1312      0      0 
 11:53:49      0     51     35     34     71      1      0      0      -      -    877   1530      0      0 
 11:53:49      1     45     34     31      0      0      0      0      -      -    877   1312      0      0 
 11:53:50      0     51     35     34     71      1      0      0      -      -    877   1530      0      0 
 11:53:50      1     45     34     31      0      0      0      0      -      -    877   1312      0      0 
 11:53:51      0     51     35     34     70      2      0      0      -      -    877   1530      0      0 
 11:53:51      1     45     34     31      0      0      0      0      -      -    877   1312      0      0 
 11:53:52      0     51     35     34     72      2      0      0      -      -    877   1530      0      0 
 11:53:52      1     45     34     31      0      0      0      0      -      -    877   1312      0      0 
 11:53:53      0     51     35     34     72      1      0      0      -      -    877   1530      0      0 
 11:53:53      1     45     34     31      0      0      0      0      -      -    877   1312      0      0 
 11:53:54      0     51     35     34     70      1      0      0      -      -    877   1530      0      0 
 11:53:54      1     45     34     31      0      0      0      0      -      -    877   1312      0      0 
 11:53:55      0     51     35     34     71      1      0      0      -      -    877   1530      0      0 
 11:53:55      1     45     34     31      0      0      0      0      -      -    877   1312      0      0 
 11:53:56      0     51     35     34     71      1      0      0      -      -    877   1530      0      0 
 11:53:56      1     45     34     31      0      0      0      0      -      -    877   1312      0      0 
 11:53:57      0     51     35     34     71      1      0      0      -      -    877   1530      0      0 
 11:53:57      1     45     34     31      0      0      0      0      -      -    877   1312      0      0 
 11:53:58      0     51     35     34     71      1      0      0      -      -    877   1530      0      0 
 11:53:58      1     45     34     31      0      0      0      0      -      -    877   1312      0      0 
 11:53:59      0     51     35     34     71      1      0      0      -      -    877   1530      0      0 
 11:53:59      1     45     34     31      0      0      0      0      -      -    877   1312      0      0 
 11:54:00      0     52     35     34     71      1      0      0      -      -    877   1530      0      0 
 11:54:00      1     45     34     31      0      0      0      0      -      -    877   1312      0      0 
#Time        gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol 
#HH:MM:SS    Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool 
 11:54:01      0     51     35     34     71      1      0      0      -      -    877   1530      0      0 
 11:54:01      1     45     34     31      0      0      0      0      -      -    877   1312      0      0 
 11:54:02      0     52     35     34     70      1      0      0      -      -    877   1530      0      0 
 11:54:02      1     45     34     31      0      0      0      0      -      -    877   1312      0      0 
 11:54:03      0     51     35     34     70      1      0      0      -      -    877   1530      0      0 
 11:54:03      1     45     34     31      0      0      0      0      -      -    877   1312      0      0 
 11:54:04      0     51     35     34     70      2      0      0      -      -    877   1530      0      0 
